model	date	method	resolution	distance_mean	distance_median
2yxmFH_A	2007-04-26	x-ray diffraction	1.51	1.5220345186443562	1.5221390290812675
3imkFH_A	2009-08-10	x-ray diffraction	1.45	1.527695085339438	1.5281799557240447
3hx9FH_A	2009-06-19	x-ray diffraction	1.75	1.5240371939939261	1.5254096187254067
3fkeFH_A	2008-12-16	x-ray diffraction	1.4	1.5216022228550965	1.521607735098084
2qguFH_A	2007-06-29	x-ray diffraction	1.5	1.5263830008672143	1.5269920490920716
3o0fFH_A	2010-07-19	x-ray diffraction	1.94	1.5285619787607048	1.5295467605800843
3od1FH_A	2010-08-10	x-ray diffraction	1.97	1.5251050937249928	1.5249735584163493
1ekqFH_B	2000-03-09	x-ray diffraction	1.5	1.5285673359777565	1.5287375359227895
2p57FH_A	2007-03-14	x-ray diffraction	1.8	1.5285471650910127	1.5280279309015135
3ebtFH_A	2008-08-28	x-ray diffraction	1.3	nan	1.5233446095626413
3khfFH_B	2009-10-30	x-ray diffraction	1.2	1.5207428009814365	1.5203875240535416
1ws0FH_A	2004-10-29	x-ray diffraction	1.7	1.5221909557097857	1.5204783816777108
2r6uFH_B	2007-09-06	x-ray diffraction	1.5	1.5220430604028772	1.521825270907125
3g0kFH_A	2009-01-28	x-ray diffraction	1.3	1.5238046852138576	1.5249512006746442
2bqxFH_A	2005-04-28	x-ray diffraction	1.9	1.5232758510354731	1.5236109444094028
3kp8FH_A	2009-11-15	x-ray diffraction	1.66	1.52594721844742	1.526637405067741
1yarFH_S	2004-12-17	x-ray diffraction	1.9	1.5299503135443928	1.529453874298425
1kpuFH_B	2002-01-02	x-ray diffraction	1.5	1.522837834646293	1.5212308903093386
2vq2FH_A	2008-03-10	x-ray diffraction	1.54	1.526843276396062	1.5272383596724375
1hx1FH_B	2001-01-11	x-ray diffraction	1.9	1.5277275501290788	1.527017389356128
3dgpFH_A	2008-06-14	x-ray diffraction	1.8	1.5267058441678136	1.5265483052395912
2i6cFH_A	2006-08-28	x-ray diffraction	1.3	1.5219203911265091	1.5228288557990055
2z4uFH_A	2007-06-26	x-ray diffraction	1.1	1.520251803750598	1.5196157848835137
2bigFH_B	2005-01-21	x-ray diffraction	1.3	1.5198724379990323	1.5200635013798007
3lmpFH_A	2010-01-31	x-ray diffraction	1.9	1.5249848480817085	1.5250723232769665
3bmwFH_A	2007-12-13	x-ray diffraction	1.6	1.5265411946671203	1.5269495273719702
3hshFH_A	2009-06-10	x-ray diffraction	1.8	1.5239478721478867	1.524049297709128
3jygFH_A	2009-09-21	x-ray diffraction	1.95	1.5288335681506935	1.5287079246696793
2cwdFH_A	2005-06-20	x-ray diffraction	1.9	1.525882838897669	1.526293705482023
3c9zFH_A	2008-02-19	x-ray diffraction	1.35	1.5247596650923043	1.5252840107399526
3pnnFH_A	2010-11-19	x-ray diffraction	1.9	1.5261452087918264	1.5260428620015802
2b9eFH_A	2005-10-11	x-ray diffraction	1.65	1.525622859396145	1.5257447906863992
3e9fFH_A	2008-08-22	x-ray diffraction	1.8	1.5260864792976636	1.5259947347607266
2v6vFH_B	2007-07-21	x-ray diffraction	1.5	1.5264158663909173	1.5264790903335494
1h75FH_A	2001-07-03	x-ray diffraction	1.7	1.5247915693522796	1.525559311887931
2fliFH_A	2006-01-06	x-ray diffraction	1.8	1.5255854155080666	1.5257744697545907
2cnqFH_A	2006-05-23	x-ray diffraction	1.0	1.4971858122495274	1.4964807474573272
2j6gFH_A	2006-09-28	x-ray diffraction	1.55	1.5222447671123998	1.5217890809159165
3cnuFH_A	2008-03-26	x-ray diffraction	1.9	1.5277606370166936	1.5271676845419542
2e0tFH_A	2006-10-13	x-ray diffraction	1.67	1.524277367155316	1.5246808698649392
3ol0FH_A	2010-08-25	x-ray diffraction	1.48	1.5241239039846712	1.5239504629398224
1yleFH_A	2005-01-19	x-ray diffraction	1.7	1.5262655690141405	1.5262324222488302
2za0FH_A	2007-09-26	x-ray diffraction	1.7	1.5225875650017389	1.5225567015282322
2rfrFH_A	2007-10-01	x-ray diffraction	1.16	1.5160183900663944	1.5152542378300993
1g60FH_A	2000-11-02	x-ray diffraction	1.74	1.5246747492056947	1.5247959746582747
2e27FH_L	2006-11-08	x-ray diffraction	1.7	1.5236295492843235	1.5238034526560558
2qr3FH_A	2007-07-27	x-ray diffraction	1.8	1.527108520031273	1.5268634336372562
3dqpFH_A	2008-07-09	x-ray diffraction	1.4	1.5258705354170787	1.5267167020662953
3npfFH_B	2010-06-28	x-ray diffraction	1.72	1.5268618008202077	1.5269199781992493
1r0mFH_B	2003-09-22	x-ray diffraction	1.3	1.5242238034366513	1.5243596851533319
1g2oFH_C	2000-10-20	x-ray diffraction	1.75	1.5238760985761275	1.524121710073485
2v9mFH_A	2007-08-24	x-ray diffraction	1.3	1.521865225488585	1.5215507910273631
2vg3FH_C	2007-11-08	x-ray diffraction	1.8	1.5278984430578897	1.5277080949566018
